session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,Vision
620cc976eee02bd498cbda71,5e39492fa6df4615a8e3dcdb,REJECTED,2022-02-16 09:53:06.680000,2022-02-16 10:10:17.637000,1030.957,30,27,3,92,2022-02-21 15:25:22.102000,72374229,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
620cc97a24ff5b516c0231d6,60f408fa4ac0bfddb703e096,RETURNED,2022-02-16 09:53:33.528000,,454683.01369,22,24,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9805674de92b8f78263,5f8861b049433030066f8bd0,RETURNED,2022-02-16 09:53:23.319000,,454693.257368,21,68,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9817e272279c88dce53,60b651001e68c8d9f46eedcc,REJECTED,2022-02-16 09:53:05.381000,2022-02-16 10:14:26.688000,1281.307,22,36,2,97,2022-02-21 15:25:13.169000,72374229,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes,Yes
620cc98a9090448e4c3109f8,5e89e620419be567b408e236,RETURNED,2022-02-16 10:04:00.035000,,454056.615096,28,72,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc98c89ea13566f6d239a,603eccc85cdecc0241b0b537,RETURNED,2022-02-16 09:53:16.057000,,454700.627823,20,49,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc98e7b2ed23946dd2227,5f468185fdf3cf046a287a2d,RETURNED,2022-02-16 09:53:18.715000,,454698.025313,19,136,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9996fd248e718363147,5ec66938dab5740239677741,RETURNED,2022-02-16 09:53:29.057000,,454687.721401,26,156,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9a249da01ee0ff36fe3,6068e170edc6afe183f9c245,REJECTED,2022-02-16 09:53:38.064000,2022-02-16 10:15:56.312000,1338.248,20,48,1,100,2022-02-21 15:25:32.403000,72374229,Slovenia,Slovenia,DATA EXPIRED,Slovenian,"Slovenian, English",Slovenia,Male,DATA EXPIRED,Yes
620cc9a31771f48a1d35c11a,60fa7dd95a7f8d12df3595c8,APPROVED,2022-02-16 09:53:39.041000,2022-02-16 10:22:19.771000,1720.73,25,29,0,100,2022-02-21 11:05:54.414000,72374229,South Africa,South Africa,Part-Time,Afrikaans,"Afrikaans, English",South Africa,Female,Yes,Yes
620cc9a4a1fbb9206821b061,5e750dcc865a9407031654cf,RETURNED,2022-02-16 09:53:40.113000,,454676.746943,22,447,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9a5f2dd5cf441f25088,607bfa6f67c6ca6366191e04,APPROVED,2022-02-16 09:53:41.762000,2022-02-16 10:19:01.137000,1519.375,22,42,0,100,2022-02-21 11:05:54.516000,72374229,Georgia,Latvia,Unemployed (and job seeking),Georgian,"English, Russian",Georgia,Female,Yes,Yes
620cc9a6c94997b08bbfbdad,589b7f625e63bf00013b2e5a,APPROVED,2022-02-16 09:53:42.341000,2022-02-16 10:17:39.661000,1437.32,33,315,2,100,2022-02-21 11:05:54.597000,72374229,Poland,Poland,DATA EXPIRED,Polish,"English, Polish",Poland,Male,DATA EXPIRED,Yes
620cc9a98bebfb987cab1a1d,5efbcff7da2d8d17bc7c6014,RETURNED,2022-02-16 09:53:49.033000,,454667.933628,36,332,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9b0874c85233b77ffe4,607583e0c86113a48cbdc1e2,RETURNED,2022-02-16 09:56:15.780000,,454521.223975,25,75,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9b11b392a60e445ae15,5e674f3c245db24bd1568975,REJECTED,2022-02-16 09:53:53.478000,2022-02-16 10:21:16.441000,1642.963,22,94,1,100,2022-02-21 15:25:41.549000,72374229,Greece,Greece,"Not in paid work (e.g. homemaker', 'retired or disabled)",Greek,"Greek, German, English",Greece,Female,Yes,Yes
620cc9b55b0bc271cebed562,5edb94e221e63281f43e8559,REJECTED,2022-02-16 09:54:20.434000,2022-02-16 10:51:32.817000,3432.383,47,127,3,98,2022-02-21 15:26:10.276000,72374229,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No,Yes
620cc9ba22ddf9fd893d2bc8,5ea9d59f653dfc135495c2bf,APPROVED,2022-02-16 09:54:19,2022-02-16 10:15:47.009000,1288.009,32,95,0,100,2022-02-21 11:05:54.677000,72374229,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Male,No,Yes
620cc9baf20b1651e897a191,5f44d8b4bc86970009427692,RETURNED,2022-02-16 09:54:02.079000,,454655.110743,23,55,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9c0083ab6bc02b3eef7,5c8141aede75d40016027a2f,TIMED-OUT,2022-02-16 09:54:08.126000,,454649.088987,38,110,4,97,,,Portugal,Portugal,Full-Time,Portuguese,"English, Spanish, Portuguese",Portugal,Male,No,Yes
620cc9c3e25aca3ec294d3d0,5ec54d65293dfe4dded54509,RETURNED,2022-02-16 09:54:11.417000,,454645.835375,22,112,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9c48af11e82e4e528ef,602c4ab133061950ba82778d,RETURNED,2022-02-16 10:05:00.026000,,453997.251016,21,99,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620cc9c5eb0cb4fdb90de306,5f773f5c429e260d39fa39e8,REJECTED,2022-02-16 09:54:13.200000,2022-02-16 10:27:53.212000,2020.012,22,173,5,98,2022-02-21 15:25:52.015000,72374229,Poland,Poland,Other,Polish,"English, Polish",Poland,Male,Yes,Yes
620cc9c6188d1282aadc2721,60957b300f08087b0af0031c,RETURNED,2022-02-16 09:54:14.359000,,454642.962665,22,68,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
