session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,Vision
6218ef185c2f1a96ad976cc7,601747ec1a72659858105b2e,AWAITING REVIEW,2022-02-25 15:00:40.487000,2022-02-25 15:27:19.556000,1599.069,31,85,1,100,,4A0A6BF5,Poland,Poland,Full-Time,Polish,"Polish, English",Poland,Male,No,Yes
6218ef2bf2e84f9067068178,5d2759b64e5e3c00164fe922,AWAITING REVIEW,2022-02-25 15:00:59.263000,2022-02-25 15:22:40.089000,1300.826,20,75,0,100,,4A0A6BF5,Hungary,Hungary,Unemployed (and job seeking),Hungarian,"English, Hungarian",Hungary,Male,Yes,Yes
6218ef404326462ce5b0481f,60dc2623fd85cf0a3e3ed8ef,RETURNED,2022-02-25 15:11:20.549000,,245979.698755,21,63,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218ef4dc0cbd5e884ca2758,5ec2c42aa614930c9f1e13fd,TIMED-OUT,2022-02-25 15:01:39.806000,,246560.471413,24,32,1,100,,,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Galician, English, Portuguese, Spanish",Portugal,Female,Yes,Yes
6218ef61e0694c1785af1448,5ea95d3bf47d1e03505ff592,AWAITING REVIEW,2022-02-25 15:01:53.900000,2022-02-25 15:19:30.646000,1056.746,27,166,0,100,,4A0A6BF5,Canada,Germany,Full-Time,Spanish,"English, French, Spanish",Canada,Female,No,Yes
6218ef65e634752ee550346b,60507819df9bb6d166f461f5,AWAITING REVIEW,2022-02-25 15:02:01.448000,2022-02-25 15:20:00.940000,1079.492,20,63,1,100,,4A0A6BF5,Greece,Greece,Full-Time,Greek,"English, Greek",Albania,Female,Yes,Yes
6218ef66688ef464e1a0a77b,5f787390a932fb40a258f546,AWAITING REVIEW,2022-02-25 15:02:00.662000,2022-02-25 15:20:41.752000,1121.09,22,20,0,100,,4A0A6BF5,Israel,Israel,DATA EXPIRED,Hebrew,"Hebrew, English",Israel,Female,DATA EXPIRED,Yes
6218efa8f8eb6d626eb80e40,5d33c9fbcb8e950001c30a9b,RETURNED,2022-02-25 15:03:07.976000,,246472.412961,27,138,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218efb6c91947b7882f6cc4,5eccd6688c01ab8ac751f614,AWAITING REVIEW,2022-02-25 15:03:18.123000,2022-02-25 15:55:02.992000,3104.869,25,179,0,100,,4A0A6BF5,Italy,Italy,Due to start a new job within the next month,Italian,"Italian, English",Italy,Male,Yes,Yes
6218efbfed2d5064cf404ca8,5f8ebaf8ba522904a8eef16d,RETURNED,2022-02-25 15:03:27.620000,,246452.819902,26,156,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218efc80e870144a3d23b83,602d23b94403b36bb2a55056,AWAITING REVIEW,2022-02-25 15:03:46.493000,2022-02-25 15:20:12.622000,986.129,24,58,0,100,,4A0A6BF5,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Portugal,Male,No,Yes
6218eff798543baac940cf4b,5dd30db5ecd14c32dec5d5d9,AWAITING REVIEW,2022-02-25 15:04:23.390000,2022-02-25 15:23:33.670000,1150.28,23,111,0,100,,4A0A6BF5,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Portugal,Male,Yes,Yes
6218f0000874d85ffa4b0a91,5f04d24b25f8c47a4215f2ff,AWAITING REVIEW,2022-02-25 15:04:31.997000,2022-02-25 15:46:54.684000,2542.687,21,255,0,100,,4A0A6BF5,Canada,Poland,Other,Chinese,"Chinese, English",Canada,Male,Yes,Yes
6218f00412a705752d408b94,6033e99632d842110c07676f,AWAITING REVIEW,2022-02-25 15:04:36.773000,2022-02-25 15:23:52.948000,1156.175,39,167,0,100,,4A0A6BF5,Netherlands,Spain,Full-Time,Dutch,"Dutch, English, Spanish",Netherlands,Female,No,Yes
6218f0055ce13142b690623e,5e8208d95442a6028e919b7f,RETURNED,2022-02-25 15:04:37.082000,,246383.496028,29,104,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f010bf5da19a6a587035,5e75433cd1aba50b2cb05bc4,AWAITING REVIEW,2022-02-25 15:05:18.303000,2022-02-25 15:33:51.566000,1713.263,28,232,0,100,,4A0A6BF5,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English, Portuguese",Netherlands,Male,Yes,Yes
6218f016e2410975371f4c7d,5f7cada3fac3bc114cb6d6b8,AWAITING REVIEW,2022-02-25 15:04:54.117000,2022-02-25 15:26:43.152000,1309.035,50,259,0,100,,4A0A6BF5,Spain,Spain,DATA EXPIRED,Spanish,"Spanish, English",Spain,Male,DATA EXPIRED,Yes
6218f02401fb28ae59eb64cb,60c0d16d73ec63ed0d8ffb2e,AWAITING REVIEW,2022-02-25 15:05:42.476000,2022-02-25 15:29:30.579000,1428.103,24,60,0,100,,4A0A6BF5,Greece,Greece,Full-Time,Greek,"English, Greek",Greece,Male,No,Yes
6218f03f879b4cdb888104f1,5c080166edbfb60001cf2f35,AWAITING REVIEW,2022-02-25 15:05:58.521000,2022-02-25 15:29:53.356000,1434.835,22,48,0,100,,4A0A6BF5,Poland,Poland,Full-Time,Polish,"Polish, English",Poland,Male,No,Yes
6218f040e0563293ef2ff7b8,5ffb5b3dc598145ab98eeea5,AWAITING REVIEW,2022-02-25 15:05:36.740000,2022-02-25 15:24:55.089000,1158.349,21,114,0,100,,4A0A6BF5,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Portugal,Male,Yes,Yes
6218f04718d49d2a9d44746c,5f29b82cee0e83129d1c2748,RETURNED,2022-02-25 15:06:32.571000,,246268.170196,32,44,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f047d77b1e9bbe84ff5a,5f9765e68112f6137e06db5d,AWAITING REVIEW,2022-02-25 15:05:43.641000,2022-02-25 15:20:35.647000,892.006,21,152,0,100,,4A0A6BF5,Poland,Poland,DATA EXPIRED,Polish,"English, Polish",Poland,Female,DATA EXPIRED,Yes
6218f04a090895c5b3cc1699,60d336105fb5f97d9f907250,RETURNED,2022-02-25 15:08:33.201000,,246147.588358,21,30,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f05911e986e9f7017554,5f4cf80c0bce10081b6460e2,AWAITING REVIEW,2022-02-25 15:06:01.492000,2022-02-25 15:21:42.191000,940.699,24,135,0,100,,4A0A6BF5,Italy,Italy,Unemployed (and job seeking),Italian,"Italian, English",Italy,Male,Yes,Yes
6218f05f5da2cbc45eb0de4f,5f986033196f2d10b8365314,RETURNED,2022-02-25 15:06:21.718000,,246279.114902,22,48,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f0645ce13142b6906246,60f20328d17a86adb4319f44,AWAITING REVIEW,2022-02-25 15:06:12.704000,2022-02-25 15:39:56.614000,2023.91,26,32,1,100,,4A0A6BF5,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,"English, Afrikaans",South Africa,Male,Yes,Yes
6218f06ca851f3a1dc208447,5f7b241d63e1da06afec1b30,AWAITING REVIEW,2022-02-25 15:06:20.132000,2022-02-25 15:19:39.927000,799.795,22,57,0,100,,4A0A6BF5,Portugal,Spain,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,Yes,Yes
