unique_item_no,my_rs,res_vec,plots_with_labels,images,size_h,size_w,instructions,masks_with_labels,,,,
1,0.279592388,96.74,all_plots/1LN.png,1LN.png,0.86,0.86,   ,masks/mask1.png,,,,
2,0.279592388,96.74,all_plots/1LY.png,1LY.png,0.86,0.86,   ,masks/mask2.png,,,,   
3,0.279592388,96.74,all_plots/1MN.png,1MN.png,0.34,0.34,   ,masks/mask3.png,,,,
4,0.279592388,96.74,all_plots/1MY.png,1MY.png,0.34,0.34,   ,masks/mask4.png,,,,
5,0.279592388,96.74,all_plots/1SN.png,1SN.png,0.215,0.215,   ,masks/mask5.png,,,,
6,0.279592388,96.74,all_plots/1SY.png,1SY.png,0.215,0.215,   ,masks/mask6.png,,,,
7,0.635609583,77.8,all_plots/2LN.png,2LN.png,0.86,0.86,   ,masks/mask7.png,,,,
8,0.635609583,77.8,all_plots/2LY.png,2LY.png,0.86,0.86,   ,masks/mask8.png,,,,
9,0.635609583,77.8,all_plots/2MN.png,2MN.png,0.34,0.34,   ,masks/mask9.png,,,,
10,0.635609583,77.8,all_plots/2MY.png,2MY.png,0.34,0.34,   ,masks/mask10.png,,,,
11,0.635609583,77.8,all_plots/2SN.png,2SN.png,0.215,0.215,   ,masks/mask11.png,,,,
12,0.635609583,77.8,all_plots/2SY.png,2SY.png,0.215,0.215,   ,masks/mask12.png,,,,
13,0.626492313,78.6,all_plots/3LN.png,3LN.png,0.86,0.86,   ,masks/mask13.png,,,,
14,0.626492313,78.6,all_plots/3LY.png,3LY.png,0.86,0.86,   ,masks/mask14.png,,,,
15,0.626492313,78.6,all_plots/3MN.png,3MN.png,0.34,0.34,   ,masks/mask15.png,,,,
16,0.626492313,78.6,all_plots/3MY.png,3MY.png,0.34,0.34,   ,masks/mask16.png,,,,
17,0.626492313,78.6,all_plots/3SN.png,3SN.png,0.215,0.215,   ,masks/mask17.png,,,,
18,0.626492313,78.6,all_plots/3SY.png,3SY.png,0.215,0.215,   ,masks/mask18.png,,,,
19,0.636365609,77.73,all_plots/4LN.png,4LN.png,0.86,0.86,   ,masks/mask19.png,,,,
